#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-320427.3515625,57.37617915863626,0
200,-313869.6728515625,103.98069971629937,269
300,-308235.138671875,142.4360267441344,282
400,-303903.763671875,173.3471690353206,288
500,-299865.7880859375,195.55295515884418,288
600,-297067.5498046875,214.54795408524572,286
700,-294044.19921875,226.25769911663443,287
800,-292459.5517578125,242.01196974433677,286
900,-289496.14453125,247.197619241133,286
1000,-288304.8837890625,261.531360904382,287
1100,-287200.68359375,272.76863552220505,286
1200,-285221.791015625,276.8445045747135,286
1300,-284464.3203125,284.6448549590773,286
1400,-283595.4033203125,286.6241843682947,286
1500,-283081.115234375,292.96077679764596,284
1600,-282100.193359375,291.24330210779027,284
1700,-281571.83203125,293.5858011243659,284
1800,-281319.421875,297.34966737386725,283
1900,-280707.34375,298.7569753627025,283
2000,-279857.6611328125,300.8896029106322,283
2100,-280023.7529296875,301.1383868883181,282
2200,-279817.142578125,303.9661327914702,281
2300,-279662.2470703125,305.2719041145656,281
2400,-279048.158203125,307.2615707428578,281
2500,-278616.169921875,306.2833411915559,280
2600,-278605.45703125,309.4813551697534,280
2700,-277851.423828125,306.73220377812083,280
2800,-278371.1171875,309.2147603068976,280
2900,-278240.47265625,311.4556811808338,280
3000,-277792.923828125,309.40737452369757,280
3100,-276837.8896484375,305.5911645568002,279
3200,-277144.8857421875,309.09192085522903,279
3300,-277378.79296875,309.7593086225018,279
3400,-276792.08984375,310.0536699551002,279
3500,-277257.552734375,313.6964050874419,279
3600,-276973.0283203125,311.5854374381899,278
3700,-276998.9833984375,310.9264306548283,278
3800,-277274.146484375,310.4169115551897,278
3900,-277551.0703125,314.3823923045554,278
4000,-276975.927734375,308.9812194709944,278
4100,-277146.8779296875,310.65596795498124,277
4200,-277358.5107421875,308.73659746654624,277
4300,-277011.7626953125,306.6648670679077,277
4400,-276943.8974609375,308.0994497587864,277
4500,-277486.4501953125,308.5673004085629,277
4600,-277175.548828125,309.5673587996613,277
4700,-277694.5537109375,314.75860421130886,277
4800,-276952.736328125,308.75329605955284,277
4900,-276522.2451171875,307.75592005692533,277
5000,-277082.453125,307.5961262538142,277
5100,-276529.5908203125,306.94908295204164,277
5200,-276964.6435546875,313.7985122634997,277
5300,-276572.2607421875,311.5814570855379,277
5400,-276911.4912109375,315.4290794415264,277
5500,-276341.705078125,311.59966586614473,277
5600,-275989.998046875,309.9344959035445,276
5700,-276411.69921875,310.3811645905808,276
5800,-276575.5595703125,312.6206680199513,276
5900,-276211.185546875,310.6023436533756,276
6000,-276178.7763671875,310.4863221608771,276
6100,-276665.7578125,315.5885301276141,276
6200,-276102.267578125,310.909441508661,276
6300,-276235.3662109375,309.4376786620546,276
6400,-276732.9716796875,312.2185254032883,276
6500,-276738.0673828125,311.4184968436698,276
6600,-277114.49609375,316.40888273409473,276
6700,-276307.6484375,311.7504031515642,276
6800,-276343.74609375,310.94567541859846,276
6900,-276578.2333984375,311.9660460327871,276
7000,-276673.7734375,310.10928107986587,276
7100,-277308.2109375,313.3397666801488,275
7200,-277319.3056640625,310.4026110942061,275
7300,-278011.8994140625,314.1806814553916,275
7400,-277120.759765625,308.33219778540354,275
7500,-277722.544921875,312.059641577992,275
7600,-277543.607421875,312.76521090206637,275
7700,-277084.33203125,313.20440555710616,275
7800,-276877.173828125,310.16762357058934,275
7900,-276729.3037109375,309.86002047897085,275
8000,-276880.7001953125,308.053675102431,275
8100,-277538.556640625,311.4548798897191,275
8200,-276877.3935546875,308.77253857058963,275
8300,-277233.88671875,311.033320316614,275
8400,-276996.681640625,311.422862571104,275
8500,-276975.7451171875,312.81006552346986,275
8600,-276608.0107421875,310.92544622511065,275
8700,-276727.443359375,313.73775945870227,275
8800,-276802.9169921875,314.22223946159295,275
8900,-276335.0498046875,311.57781149705175,275
9000,-276677.90234375,308.2044608601565,275
9100,-277076.580078125,311.7459889389203,275
9200,-276938.173828125,313.2233661664901,275
9300,-276725.66796875,312.6928703556501,275
9400,-276923.541015625,313.17651690911237,275
9500,-276129.509765625,310.65170446703263,275
9600,-276239.5419921875,312.42945664054787,274
9700,-275885.98828125,311.1276079627924,274
9800,-275841.0400390625,310.23380496053807,274
9900,-275402.6953125,307.9600219019068,274
10000,-276050.646484375,310.27243199095454,274
10100,-276341.8017578125,311.6910407442808,274
10200,-276695.53125,311.12213370611823,274
10300,-277084.1845703125,310.11904985523483,274
10400,-276956.546875,312.56771633289327,274
