#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-2119.159049987793,60.3921160332987,0
200,-2004.8447494506836,106.04016088824761,1.25e+03
300,-1889.8164558410645,128.26457599638474,1.24e+03
400,-1866.0143203735352,166.77026402515392,1.24e+03
500,-1777.650405883789,185.54284189569967,1.26e+03
600,-1737.0563297271729,225.5313983650484,1.28e+03
700,-1720.365623474121,230.05150217473798,1.28e+03
800,-1669.3504791259766,267.7884122154046,1.3e+03
900,-1543.4666061401367,244.32578558573658,1.29e+03
1000,-1565.5292596817017,276.77718826925627,1.27e+03
1100,-1599.5162253379822,275.46186548767156,1.27e+03
1200,-1523.1487712860107,259.95086395634826,1.25e+03
1300,-1543.904393196106,287.69176076465874,1.24e+03
1400,-1582.7828454971313,307.94519198595134,1.23e+03
1500,-1459.0359001159668,280.6354586519846,1.21e+03
1600,-1493.6579756736755,297.3963411286038,1.19e+03
1700,-1569.4558811187744,312.9443288891564,1.16e+03
1800,-1457.1436958312988,289.454802945,1.16e+03
1900,-1482.5061721801758,326.9207705087588,1.17e+03
2000,-1524.225299835205,308.67550480274565,1.16e+03
2100,-1505.8253154754639,281.35031327382916,1.17e+03
2200,-1513.1498231887817,300.56033568575236,1.18e+03
2300,-1503.5130138397217,298.8290665028776,1.18e+03
2400,-1521.0249404907227,294.40311883503847,1.18e+03
2500,-1509.0002808570862,275.2576661768529,1.18e+03
2600,-1537.9348640441895,306.1128884541201,1.19e+03
2700,-1539.7558908462524,332.08140202865326,1.19e+03
2800,-1414.3324184417725,292.47105702129215,1.19e+03
2900,-1420.6664581298828,302.1900233877545,1.2e+03
3000,-1409.759527206421,313.55671011622593,1.2e+03
3100,-1480.2087955474854,324.84681132537673,1.2e+03
3200,-1439.0756587982178,303.39563540499154,1.21e+03
3300,-1504.4539184570312,334.16091542669847,1.21e+03
3400,-1457.3272686004639,326.38023991187106,1.21e+03
3500,-1408.7856941223145,306.85003095521967,1.21e+03
3600,-1458.388590812683,321.3325483324303,1.22e+03
3700,-1493.5908288955688,328.5734876817432,1.22e+03
3800,-1434.7454528808594,323.2021971582445,1.22e+03
3900,-1428.902011871338,294.41514155214014,1.22e+03
4000,-1485.9429683685303,333.77887222884215,1.22e+03
4100,-1428.5867185592651,310.50596079318865,1.22e+03
4200,-1429.2900829315186,320.9476826789196,1.23e+03
4300,-1454.119779586792,313.3715827649409,1.23e+03
4400,-1488.9716129302979,316.74945301559944,1.23e+03
4500,-1472.6095123291016,333.2406826167816,1.23e+03
4600,-1344.846667289734,312.36681531100055,1.23e+03
4700,-1414.3754138946533,314.6935162045645,1.24e+03
4800,-1432.8311595916748,330.5980571125211,1.24e+03
4900,-1452.5829467773438,338.18003484248584,1.24e+03
5000,-1432.6773595809937,330.7915665234275,1.23e+03
5100,-1425.3427867889404,343.82732485216957,1.23e+03
5200,-1387.02632522583,318.32160850696215,1.24e+03
5300,-1437.930555343628,328.20731912092845,1.23e+03
5400,-1415.4143981933594,323.33798868650706,1.24e+03
5500,-1339.7894439697266,304.95082344846355,1.23e+03
5600,-1357.847557067871,331.06827556620226,1.23e+03
5700,-1406.0295896530151,326.17653665573,1.23e+03
5800,-1520.0451126098633,354.05840912945126,1.23e+03
5900,-1502.4836254119873,328.1767692156084,1.24e+03
6000,-1449.1322574615479,315.3789967728174,1.24e+03
6100,-1482.6197881698608,345.96644349344893,1.24e+03
6200,-1404.6509065628052,316.5449051648196,1.24e+03
6300,-1487.96195936203,365.01948105562013,1.24e+03
6400,-1447.8990259170532,323.8470415038357,1.24e+03
6500,-1482.7527561187744,339.79597852631025,1.24e+03
6600,-1431.1819038391113,318.10810154860627,1.24e+03
6700,-1438.7276878356934,313.3904506987284,1.25e+03
6800,-1470.5547771453857,283.4016562911801,1.25e+03
6900,-1496.9100437164307,287.7689186963304,1.25e+03
7000,-1517.152910232544,296.15260417799726,1.25e+03
7100,-1483.2068891525269,290.4799142822496,1.25e+03
7200,-1470.5106678009033,316.818514879234,1.25e+03
7300,-1414.555347442627,289.6973483575916,1.25e+03
7400,-1493.553596496582,331.06209000340857,1.25e+03
7500,-1593.1646194458008,353.36320630388497,1.25e+03
7600,-1549.0547924041748,329.3058465877907,1.25e+03
7700,-1520.1325645446777,320.5624460071093,1.25e+03
7800,-1537.3505630493164,325.26954480655473,1.25e+03
7900,-1472.2021789550781,297.06778824292473,1.25e+03
8000,-1504.6779108047485,304.27863885610054,1.25e+03
8100,-1510.7220458984375,315.3456013511991,1.22e+03
8200,-1511.7754573822021,323.27667931424764,1.21e+03
8300,-1360.3785552978516,282.8726214699043,1.21e+03
8400,-1578.7916259765625,343.37902120866426,1.21e+03
8500,-1495.0545539855957,329.30507029924206,1.21e+03
8600,-1463.9711017608643,321.088451819954,1.21e+03
8700,-1402.2445106506348,307.3909600686468,1.21e+03
8800,-1504.4463729858398,315.87007638804704,1.21e+03
8900,-1502.5876636505127,323.18959454441983,1.21e+03
9000,-1521.5305480957031,306.2967572949109,1.21e+03
9100,-1572.261516571045,315.58658940789655,1.21e+03
9200,-1604.0829191207886,290.86644021949365,1.21e+03
9300,-1610.4107265472412,314.0018068093399,1.21e+03
9400,-1662.4826469421387,310.3488758123315,1.21e+03
9500,-1543.6731853485107,291.20547711564376,1.21e+03
9600,-1573.965036392212,290.9463039274774,1.21e+03
9700,-1566.974042892456,326.73431759526903,1.21e+03
9800,-1524.0294075012207,316.760907461034,1.21e+03
9900,-1543.5978889465332,332.4460362306647,1.21e+03
10000,-1565.5735759735107,334.4345431107552,1.21e+03
10100,-1445.7312154769897,310.2583061235124,1.21e+03
10200,-1528.9398403167725,334.9485517600128,1.21e+03
10300,-1458.966106414795,308.30405638843405,1.21e+03
10400,-1479.0428686141968,324.95799546375633,1.21e+03
10500,-1524.7682762145996,347.9379171100462,1.21e+03
10600,-1484.2309970855713,306.951676330802,1.21e+03
10700,-1500.043966293335,305.8472865112201,1.21e+03
10800,-1562.1244812011719,310.26745527078083,1.21e+03
10900,-1575.6935396194458,315.9773188369222,1.21e+03
11000,-1513.4707164764404,287.9557131966737,1.21e+03
11100,-1587.0834121704102,320.836468066823,1.21e+03
11200,-1560.3463706970215,310.5119219431925,1.21e+03
11300,-1596.9977798461914,321.2224838330518,1.21e+03
11400,-1457.2998695373535,277.14065602698867,1.21e+03
11500,-1532.0492267608643,299.2198578453446,1.21e+03
11600,-1525.272954940796,309.73948987360365,1.22e+03
11700,-1516.9788341522217,299.7478265075629,1.22e+03
11800,-1495.1422233581543,289.29855762547123,1.22e+03
11900,-1497.464298248291,305.91152214043115,1.22e+03
12000,-1536.1515274047852,327.17118968000693,1.22e+03
12100,-1522.2961874008179,315.4220262197724,1.22e+03
12200,-1546.4124870300293,303.35364780246795,1.22e+03
12300,-1561.9181532859802,304.07886182858067,1.22e+03
12400,-1533.6009283065796,320.39024688719434,1.22e+03
12500,-1504.6428604125977,304.7838581433768,1.22e+03
12600,-1498.3360404968262,303.01022784204156,1.22e+03
12700,-1441.5027017593384,292.1154751195511,1.22e+03
12800,-1511.4658317565918,352.751807951109,1.22e+03
12900,-1507.785717010498,343.2127931387391,1.22e+03
13000,-1459.4778327941895,310.97014009773494,1.22e+03
13100,-1496.4523124694824,311.6314433773491,1.22e+03
13200,-1524.5818033218384,314.75560949969,1.22e+03
13300,-1447.2522048950195,288.7426878626539,1.22e+03
13400,-1469.4533519744873,316.267602406095,1.22e+03
13500,-1562.3980836868286,325.93002770467,1.22e+03
13600,-1522.5419101715088,328.72639135006045,1.22e+03
13700,-1443.019528388977,303.18367821269936,1.22e+03
13800,-1425.2995858192444,318.99996740169905,1.22e+03
13900,-1449.508285522461,333.88301008755656,1.22e+03
14000,-1532.6911010742188,340.8496420443391,1.22e+03
14100,-1502.1917753219604,329.78600291741344,1.22e+03
